Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Mean,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,RST Flag Count,PSH Flag Count,Protocol,Average Packet Size,Init_Win_bytes_forward,Init_Win_bytes_backward,Active Mean,Idle Mean,Label
80,418516,103,342,400821.26,210529.63,522.68,565.44,77611.12,4015.74,5,5,4,5,17,317.4,55771,28117,2248.51,25480.6,DoS
110,4452421,124,26,370738.99,480968.01,1020.44,262.19,81201.78,127.97,2,1,1,10,6,138.43,9229,14512,1117.06,45482.97,BENIGN
139,1090746,88,343,55762.41,341549.06,348.59,296.55,18630.57,568.26,6,1,0,7,17,1270.89,64330,16818,3525.32,9354.59,PortScan
110,2819982,314,19,29763.0,8849.15,1323.62,1365.46,56331.12,414.68,3,29,5,7,17,90.93,32296,46246,2995.52,53189.94,BENIGN
53,3790273,134,282,183651.71,63100.52,626.24,31.19,17506.49,158.71,0,27,3,0,17,1128.07,30908,42579,2564.33,92444.88,BENIGN
3389,3982618,274,493,181307.75,167432.61,1079.13,441.11,52801.24,3683.09,16,10,4,5,17,1307.73,44188,26011,3750.8,75219.89,Brute Force
25,2673464,417,49,389017.99,397139.37,1069.53,1496.86,98038.86,3810.84,5,9,2,9,6,422.38,64981,57817,792.78,53678.82,Web Attack
22,4626002,389,493,177137.26,434195.54,1108.62,1306.17,74071.6,238.18,0,19,3,10,6,810.78,64332,64467,1362.84,65396.06,BENIGN
1433,3000503,400,8,436577.49,236507.12,500.3,943.35,58436.15,238.01,2,19,1,10,17,1389.67,22530,5620,3196.22,29154.94,BENIGN
53,2214062,341,90,50812.65,251189.18,413.28,902.24,97378.22,486.45,3,9,1,5,6,234.91,46822,7470,4708.32,14452.76,BENIGN
445,2073158,242,192,36864.2,95155.3,860.76,520.89,7150.05,2703.58,7,6,3,7,17,1329.59,50015,58934,3692.16,98483.86,Brute Force
22,3300103,247,149,109819.3,355749.43,969.57,702.9,49641.02,218.55,2,28,0,7,17,752.51,38207,8225,1667.64,7055.61,BENIGN
445,928276,159,125,101248.47,422012.32,236.55,1378.75,5522.93,26.41,0,24,1,7,6,712.66,58075,8230,4090.53,92501.18,BENIGN
53,292464,378,173,371280.25,374735.72,418.59,1298.89,19307.34,38.7,1,2,2,7,6,197.1,44883,40533,1674.63,74928.73,BENIGN
53,690017,152,58,419369.77,305604.94,440.77,210.35,86273.99,495.04,3,13,3,6,6,674.94,25396,27294,2970.65,58585.78,BENIGN
80,3241637,391,160,491162.05,28829.72,1297.64,1006.15,59281.41,230.68,1,8,3,8,6,399.09,57327,26435,4357.5,13859.67,BENIGN
135,2853979,135,254,139268.72,450734.22,684.09,1253.58,47367.46,3158.72,15,18,5,1,17,940.89,55173,8946,3311.38,85992.34,Brute Force
3306,1514066,479,117,115003.53,210882.84,1097.5,1043.62,1347.26,25.57,1,25,4,8,17,1090.52,22467,60042,696.37,72294.21,BENIGN
110,2058470,166,360,515.0,128215.3,428.45,325.83,4565.44,359.34,0,27,2,9,6,248.09,8714,8252,2128.45,70159.47,BENIGN
53,4725405,432,116,320114.46,358983.29,920.32,1115.27,57912.2,83.45,2,0,5,10,6,1267.76,28941,30745,1730.6,15418.57,BENIGN
445,4589484,387,166,205625.55,390160.61,637.67,1204.79,75968.6,3024.37,9,30,1,4,6,1248.15,22061,35791,4771.27,6079.25,Bot
1433,530897,320,44,320428.2,330682.43,609.49,242.02,87662.89,303.97,2,8,4,2,17,127.62,47975,36322,1421.07,1155.34,BENIGN
21,3596007,406,112,431209.27,414099.74,213.43,1256.17,35554.06,186.33,1,18,1,3,17,1103.52,37313,55078,4628.62,72554.45,BENIGN
445,4105514,390,4,110575.87,454856.96,1086.53,831.49,9588.28,215.19,0,8,3,4,6,1185.79,17639,53772,1628.27,27487.55,BENIGN
3306,182443,444,377,231813.5,455969.66,1377.66,710.55,9583.34,1545.41,13,30,5,4,17,669.51,13225,37708,228.8,13452.31,Web Attack
445,1091644,105,115,65142.69,164213.06,385.63,1338.35,7708.83,2815.17,5,22,4,10,17,113.85,15180,64602,2396.97,98405.38,PortScan
3306,1250457,136,496,84266.76,112418.36,683.71,721.24,54411.29,495.98,2,3,0,7,17,1174.88,26206,8126,3995.48,4449.51,BENIGN
123,1524885,455,119,122284.15,78081.89,764.95,1188.3,41077.93,498.08,0,22,2,5,6,215.47,23074,30803,490.91,89469.09,BENIGN
22,4775396,344,428,389245.1,465629.24,1113.97,644.68,2364.06,66.35,1,14,1,2,17,742.04,53888,57882,334.72,46346.01,BENIGN
123,484523,288,483,360727.64,34128.51,768.22,224.16,59119.7,62.87,1,15,1,9,17,346.37,15661,22017,4980.03,23745.73,BENIGN
1433,1155989,10,89,47872.41,106743.4,140.24,78.46,62654.46,293.92,2,5,4,1,17,357.22,33298,13714,3919.36,41856.17,BENIGN
22,3113685,184,439,364262.8,68762.45,1111.84,1105.31,18418.23,25.03,0,1,4,5,6,1414.22,11130,62834,2224.35,92156.1,BENIGN
3389,100252,51,265,251316.48,274604.67,826.38,357.77,29801.38,370.7,2,9,1,6,17,1309.11,61512,4834,4794.66,21144.38,BENIGN
3306,4591881,248,2,343025.61,18678.2,1160.5,74.38,64978.19,156.85,2,22,3,8,17,162.07,38997,10071,2596.91,14591.8,BENIGN
135,1872049,298,480,420653.5,219247.43,1016.1,1464.07,49571.41,143.19,0,2,1,6,6,947.56,54176,11255,3788.95,83585.24,BENIGN
22,2294273,456,258,201875.14,92377.09,719.91,1172.58,83674.7,139.74,3,2,0,4,17,1308.05,33081,25993,4651.57,31826.87,BENIGN
53,1642114,13,31,31060.32,494063.81,316.38,1375.65,40188.16,84.7,3,11,3,5,17,622.68,35382,35930,1534.91,60370.79,BENIGN
135,4700579,410,436,2461.94,75686.39,1240.43,807.18,65405.94,63.46,1,2,0,3,17,700.44,53037,56212,2713.74,60942.33,BENIGN
139,709263,24,320,182407.56,98189.61,752.81,765.43,37250.87,256.84,2,8,0,6,6,175.76,52046,58642,2115.67,10362.62,BENIGN
21,2551461,236,159,247180.86,338088.5,1325.94,1020.31,71881.71,332.67,2,28,5,2,6,80.29,64661,15413,1813.49,30688.73,BENIGN
110,934501,220,479,97939.17,321168.07,318.84,1306.68,16259.04,1030.57,8,19,0,6,6,1171.31,37535,46661,3833.88,23392.9,Brute Force
21,970577,65,323,435997.07,334662.4,343.39,1361.14,54293.01,481.31,2,17,2,0,6,1389.65,34691,37383,3392.02,87795.12,BENIGN
135,4507942,159,350,278698.8,340634.97,50.93,500.38,91735.58,2369.15,13,26,3,0,6,211.28,19490,29431,3569.73,84654.1,PortScan
8080,173333,27,253,59852.38,133796.44,1405.84,28.62,47445.56,310.09,1,26,5,6,17,62.28,44286,58625,975.51,9033.72,BENIGN
110,1989587,167,171,150417.13,72833.77,1207.3,495.75,13824.5,255.17,1,2,0,6,6,868.73,1921,36787,3473.15,39905.65,BENIGN
123,474788,241,58,355852.71,109904.66,1088.63,1391.21,37795.41,267.61,1,7,1,4,17,985.42,22929,64684,2329.0,92319.1,BENIGN
1433,3534629,210,192,231418.44,300118.88,941.31,675.75,15920.43,264.39,1,5,5,0,17,702.92,7652,39139,1283.12,26876.67,BENIGN
445,1712729,61,324,111155.72,51310.18,1149.03,523.02,24854.64,493.2,0,8,0,7,6,645.58,38068,8086,3982.18,48918.19,BENIGN
3389,1590600,209,318,404911.62,297355.51,1008.1,1005.97,19260.04,4367.36,12,18,3,8,17,1479.46,4979,25085,2657.15,76134.81,DoS
443,124069,247,451,147060.07,401035.62,416.71,689.44,4034.44,1172.06,15,1,1,8,6,328.43,65508,18567,4449.12,70982.6,Brute Force
21,2708296,366,376,153757.9,179874.19,1091.48,212.19,5349.85,76.06,2,30,3,4,17,1332.68,33644,62026,492.79,79782.34,BENIGN
110,2265487,176,91,92549.9,477243.23,596.34,474.49,21319.69,4067.73,9,6,4,3,17,466.44,14652,60495,404.82,10526.67,PortScan
8080,4065883,357,85,449377.2,356486.26,149.7,1165.3,42480.75,45.51,3,9,0,9,17,105.63,33781,13743,3801.27,92299.14,BENIGN
80,608611,83,463,494641.37,102528.19,995.5,530.64,95037.33,4880.62,11,10,3,4,17,291.39,21006,28491,359.97,29269.61,Web Attack
25,2594376,23,145,203163.82,466021.91,369.25,869.23,31655.51,167.69,2,16,5,1,6,804.68,13138,46243,4541.19,11826.85,BENIGN
22,320346,219,90,297790.91,86065.44,1317.82,1343.04,12123.39,204.87,1,14,0,6,6,1221.54,19981,65076,3001.95,28926.06,BENIGN
110,24186,278,20,268318.05,455018.52,1039.93,465.53,1715.52,235.91,1,18,4,10,6,1224.5,20191,38617,3102.77,34904.91,BENIGN
443,2262125,494,480,350571.64,249150.45,23.32,673.46,86055.09,282.46,0,6,4,7,6,855.9,30772,62369,2452.85,6002.37,BENIGN
21,295430,174,161,186217.51,274944.74,1050.6,330.13,61284.47,494.46,1,8,1,6,17,1030.67,6980,63367,964.94,50830.08,BENIGN
22,3232342,385,336,289484.77,133610.51,1239.7,1087.1,91097.04,368.24,3,23,4,2,17,112.55,54420,62484,1813.12,88899.04,BENIGN
1433,3599732,26,7,248000.3,36078.43,1037.19,35.1,11673.04,7.41,3,25,3,0,6,1451.39,14337,21709,4219.87,7453.22,BENIGN
110,3813841,272,193,56813.16,277288.8,985.3,1339.74,85011.21,1422.9,14,21,4,10,6,1146.38,43039,51247,3853.37,43771.54,Web Attack
443,2237879,103,1,75111.02,12203.09,1071.8,386.27,98161.22,2074.12,7,17,0,7,17,960.89,7713,55139,4159.89,41953.89,PortScan
139,2267467,347,33,57674.29,52154.8,1404.63,437.71,84209.23,407.69,3,6,5,8,6,359.34,20208,7924,4594.17,23024.32,BENIGN
443,853819,21,306,252613.74,472805.86,39.51,657.03,72672.14,216.89,3,0,5,6,6,1424.32,44515,5353,525.41,49655.14,BENIGN
110,2969800,333,9,147197.84,168708.72,164.92,1133.65,75141.87,64.76,1,3,3,7,6,975.59,49015,32030,3051.82,1179.75,BENIGN
135,1763586,458,459,91899.95,157507.5,1445.35,666.35,17224.99,249.66,2,7,1,3,17,355.09,21201,8567,1288.08,26016.22,BENIGN
443,3754097,404,391,79181.71,381313.11,769.14,1314.33,85589.14,3500.77,10,21,5,6,6,235.57,49849,28899,843.47,63937.54,Web Attack
135,4862983,289,41,387399.65,131398.53,455.1,279.98,14543.83,191.61,0,1,1,5,6,236.7,39958,18163,736.35,99035.61,BENIGN
139,3865206,272,410,299566.15,339749.66,488.37,65.77,851.21,4771.25,16,11,1,7,17,926.74,31090,3030,504.65,37669.12,DoS
443,230478,220,353,355538.38,359964.89,936.98,795.02,71753.77,254.16,3,21,3,6,6,847.93,20940,42861,4209.88,80257.05,BENIGN
22,4395885,276,151,134811.14,453662.27,921.82,479.7,86890.91,449.31,1,22,0,7,17,73.25,12637,20775,2194.41,10058.04,BENIGN
445,370099,98,393,427174.06,276636.56,613.15,1185.52,2574.22,36.14,3,26,4,2,6,1160.67,50386,11313,4652.17,38940.92,BENIGN
139,818886,28,150,438906.83,432600.08,809.77,356.06,21842.95,204.46,3,14,5,6,17,828.24,43878,31131,4017.41,69894.43,BENIGN
80,3403693,260,412,328290.37,211451.49,364.15,1262.36,87309.87,42.59,3,12,4,9,17,835.45,56558,41972,4202.17,21949.57,BENIGN
139,187107,67,422,151994.26,360182.4,213.44,603.46,61787.17,79.81,2,4,2,3,6,265.77,26180,29680,3564.63,8155.99,BENIGN
80,4910684,329,466,41123.64,4449.96,1322.26,882.43,88592.82,260.48,2,20,0,0,6,1366.34,60935,8077,3378.87,65086.92,BENIGN
1433,2407068,474,291,123514.69,386200.17,148.81,229.32,17723.19,488.64,3,1,1,5,6,204.18,7440,54372,2628.5,76258.6,BENIGN
8080,1380369,184,11,316300.52,194018.73,511.07,894.97,41431.41,2897.14,10,4,1,1,6,695.99,47238,10432,2115.41,36762.77,Bot
53,1630729,75,22,191632.61,278362.27,667.16,1493.82,86246.32,4439.81,8,12,5,3,17,707.02,53580,62315,2120.76,24823.15,Brute Force
110,542979,393,13,435742.43,180728.1,286.12,697.4,42173.62,988.85,5,17,1,8,6,717.78,18569,43449,479.04,34935.9,Bot
21,2575578,192,157,48900.15,489613.5,60.07,552.03,71377.49,1161.53,12,18,4,5,17,1165.06,50651,35774,4091.54,83127.39,Bot
3389,277147,418,357,398182.31,51543.14,864.7,211.62,81579.95,267.89,2,2,0,4,17,923.36,46672,29021,95.18,63552.37,BENIGN
53,1554777,192,222,278074.46,222892.66,526.64,1199.05,39168.7,1371.7,8,27,2,10,17,1081.07,28707,61742,1464.47,32355.65,Web Attack
8080,168047,72,111,240326.54,115007.1,1018.05,1433.9,25498.03,231.46,1,27,3,10,6,1421.28,7252,29747,4688.9,70323.78,BENIGN
80,4147404,107,67,470782.03,383787.08,1117.19,996.58,33991.61,660.16,18,15,2,5,6,879.65,9035,6258,3636.23,89209.99,Bot
445,881393,150,241,30074.34,350611.52,41.56,1098.14,13741.76,96.03,0,20,1,6,6,1330.82,49864,5777,3.67,44579.27,BENIGN
1433,2785252,170,445,276936.23,334222.18,1070.97,254.55,92361.54,163.7,0,9,5,7,6,1236.61,49636,65389,134.86,53931.1,BENIGN
1433,47857,129,50,277087.54,59567.12,1064.05,581.75,54641.58,746.26,20,29,1,9,17,724.23,12728,62190,2822.85,43441.97,Bot
1433,2372031,298,399,295441.37,368682.09,1394.44,671.29,1651.51,428.49,3,26,4,4,6,74.28,52099,54249,3416.93,63232.46,BENIGN
123,2072509,434,128,216528.62,115698.64,261.72,700.9,59143.79,254.85,1,12,3,4,17,606.91,14916,35043,1739.09,26692.08,BENIGN
53,2434552,97,35,268417.38,11669.39,1147.31,82.81,99179.67,433.53,3,30,4,10,6,58.86,9217,52587,1203.67,45813.73,BENIGN
1433,2715931,26,457,86746.67,49884.98,686.65,789.05,42471.6,3728.75,17,13,2,4,6,846.83,1677,4787,1850.77,33205.84,Bot
22,3605260,357,83,261731.74,431059.94,1295.63,1030.37,3312.49,2438.76,7,16,5,6,6,141.43,30378,64580,3759.58,35.47,Brute Force
